time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
2021-06-17T15:56:22.312,0.05,-0.39,9.87,0.1875,0.0625,0.0,-16.875,8.875,-46.0625
2021-06-17T15:56:22.325,0.07,-0.4,9.84,-0.0625,-0.125,0.0,-16.875,8.875,-46.0625
2021-06-17T15:56:22.338,0.05,-0.42,9.84,0.0625,-0.1875,0.0625,-16.875,8.875,-46.0625
2021-06-17T15:56:22.35,0.06,-0.39,9.84,0.0,0.0,0.0,-16.1875,8.5,-45.25
2021-06-17T15:56:22.363,0.05,-0.4,9.83,-0.0625,-0.0625,0.0,-16.1875,8.5,-45.25
2021-06-17T15:56:22.376,0.04,-0.4,9.84,0.125,0.0,0.0625,-16.1875,8.5,-45.25
2021-06-17T15:56:22.389,0.04,-0.41,9.84,0.0,0.0,0.0625,-16.1875,8.5,-45.25
2021-06-17T15:56:22.401,0.06,-0.41,9.87,-0.0625,0.125,0.0625,-15.75,9.25,-45.5625
2021-06-17T15:56:22.414,0.04,-0.4,9.86,0.0625,0.0,0.0625,-15.75,9.25,-45.5625
2021-06-17T15:56:22.427,0.05,-0.4,9.84,0.125,-0.0625,0.125,-15.75,9.25,-45.5625
2021-06-17T15:56:22.44,0.02,-0.41,9.83,0.0625,0.0625,0.0,-15.75,9.25,-45.5625
2021-06-17T15:56:22.453,0.06,-0.4,9.87,0.0,0.0625,0.0,-15.75,8.875,-45.5625
2021-06-17T15:56:22.466,0.06,-0.38,9.82,0.0,0.0625,0.0,-15.75,8.875,-45.5625
2021-06-17T15:56:22.507,0.06,-0.41,9.89,0.125,-0.0625,0.0,-16.5,9.25,-46.375
2021-06-17T15:56:22.52,0.04,-0.4,9.82,-0.0625,-0.0625,0.0625,-16.5,9.25,-46.375
2021-06-17T15:56:22.533,0.05,-0.4,9.85,0.0,0.0,-0.0625,-16.5,9.25,-46.375
2021-06-17T15:56:22.545,0.04,-0.4,9.84,0.125,0.0,0.0625,-16.5,9.25,-46.375
2021-06-17T15:56:22.558,0.07,-0.39,9.85,0.125,-0.0625,0.0,-16.5,8.5,-45.5625
2021-06-17T15:56:22.571,0.04,-0.4,9.85,0.0625,-0.0625,0.0,-16.5,8.5,-45.5625
2021-06-17T15:56:22.584,0.04,-0.41,9.84,0.0625,-0.0625,-0.0625,-16.5,8.5,-45.5625
2021-06-17T15:56:22.597,0.06,-0.4,9.85,0.0,0.0625,0.0625,-15.75,9.25,-44.375
2021-06-17T15:56:22.61,0.06,-0.4,9.83,-0.0625,0.0,0.0625,-15.75,9.25,-44.375
2021-06-17T15:56:22.622,0.04,-0.41,9.86,-0.0625,0.0625,0.0,-15.75,9.25,-44.375
2021-06-17T15:56:22.636,0.06,-0.39,9.86,0.1875,0.0625,0.0625,-15.75,9.25,-44.375
